field_id,finetuned_cluster
SB_FR_0686,2
SB_FR_0687,1
SB_FR_0688,1
SB_FR_0689,3
SB_FR_0690,2
SB_FR_0691,3
SB_FR_0692,2
SB_FR_0693,1
SB_FR_0694,3
SB_FR_0695,1
SB_FR_0696,4
SB_FR_0697,3
SB_FR_0698,1
SB_FR_0699,1
SB_FR_0700,0
SB_FR_0701,2
SB_FR_0702,0
SB_FR_0703,3
SB_FR_0704,1
SB_FR_0705,1
SB_FR_0706,3
SB_FR_0707,2
SB_FR_0708,3
SB_FR_0709,3
SB_FR_0710,3
SB_FR_0713,1
SB_FR_0714,1
SB_FR_0716,1
SB_FR_0717,1
SB_FR_0718,2
SB_FR_0719,2
SB_FR_0720,2
SB_FR_0721,1
SB_FR_0722,3
SB_FR_0723,1
SB_FR_0724,2
SB_FR_0725,2
SB_FR_0726,2
SB_FR_0727,2
SB_FR_0728,3
SB_FR_0729,2
SB_FR_0730,1
SB_FR_0731,2
SB_FR_0732,3
SB_FR_0733,2
SB_FR_0734,1
SB_FR_0735,1
SB_FR_0736,0
SB_FR_0737,1
SB_FR_0738,3
SB_FR_0739,2
SB_FR_0740,2
SB_FR_0741,1
SB_FR_0742,1
SB_FR_0743,1
SB_FR_0744,3
SB_FR_0745,3
SB_FR_0746,3
SB_FR_0747,3
SB_FR_0748,3
SB_FR_0749,2
SB_FR_0750,0
SB_FR_0751,2
SB_FR_0752,2
SB_FR_0753,1
SB_FR_0754,1
SB_FR_0755,1
SB_FR_0756,1
SB_FR_0757,1
SB_FR_0758,1
SB_FR_0759,1
SB_FR_0760,1
SB_FR_0761,2
SB_FR_0762,1
SB_FR_0763,1
SB_FR_0764,2
SB_FR_0765,3
SB_FR_0766,3
SB_FR_0767,0
SB_FR_0768,1
SB_FR_0769,3
SB_FR_0770,1
SB_FR_0771,2
SB_FR_0772,2
SB_FR_0773,1
SB_FR_0774,1
SB_FR_0775,2
SB_FR_0776,3
SB_FR_0777,2
SB_FR_0778,2
SB_FR_0779,2
SB_FR_0780,2
SB_FR_0781,3
SB_FR_0782,1
SB_FR_0784,2
SB_FR_0785,3
SB_FR_0786,1
SB_FR_0787,3
SB_FR_0788,1
SB_FR_0789,2
SB_FR_0790,2
